seriesuid,coordX,coordY,coordZ,diameter_mm,file,probability
LKDS-01004,68.0879638875,-29.2323426012,-4.00363656793,9.02583456532,LKDS-01004_orig.npy,0.005
LKDS-01004,-66.5667179199,-26.3220049648,-2.08105286862,5.66119777958,LKDS-01004_orig.npy,0.005
LKDS-01004,-59.5760770697,-17.8263560166,4.67105227955,11.5080415967,LKDS-01004_orig.npy,0.005
LKDS-01004,56.6199449009,-16.4916957609,8.54558097734,7.43270014465,LKDS-01004_orig.npy,0.005
LKDS-01004,-30.1788366936,-134.757400065,11.7494732116,5.66119777958,LKDS-01004_orig.npy,0.042
LKDS-01004,-49.9716812865,-6.76866855018,16.0205376983,11.0476191177,LKDS-01004_orig.npy,0.005
LKDS-01004,80.0234951204,-9.93576133859,18.26369423,16.455283622,LKDS-01004_orig.npy,0.006
LKDS-01004,-27.9415421522,-155.072583525,33.1147841098,8.92307970921,LKDS-01004_orig.npy,0.005
LKDS-01004,-71.8203813551,44.3479583832,58.1999987364,6.76350991072,LKDS-01004_orig.npy,0.005
LKDS-01004,-45.8944576329,-131.776170554,73.3021583064,9.59829564585,LKDS-01004_orig.npy,0.005
LKDS-01004,-70.4708258197,-21.835144779,75.8749984354,5.68099233846,LKDS-01004_orig.npy,0.005
LKDS-01004,45.5742648151,-133.70421984,129.321588434,6.95298589717,LKDS-01004_orig.npy,0.005
LKDS-01004,-82.967414498,-173.456915788,147.79999721,12.5743063152,LKDS-01004_orig.npy,0.048
LKDS-01004,-67.469122513,-76.5292086619,155.193854578,11.5844457704,LKDS-01004_orig.npy,0.695
LKDS-01004,-97.0439254981,-135.811491289,156.772487764,8.00911542375,LKDS-01004_orig.npy,0.206
LKDS-01004,-44.6874666018,-237.340834006,174.159698254,7.26773603064,LKDS-01004_orig.npy,0.044
LKDS-01004,71.6859560625,-111.73983544,179.299996674,6.80500487458,LKDS-01004_orig.npy,0.005
LKDS-01004,-50.2359056016,-106.002296477,189.860602555,7.612683704,LKDS-01004_orig.npy,0.005
LKDS-01004,-51.7994550756,-103.885782105,195.021477888,8.01902770543,LKDS-01004_orig.npy,0.005
