外在设施,,,环境条件,,,,设施/数量类,,状况类,,面积,
YearBuilt,起建时间,,MSSubClass,建筑信息,,取暖,Heating,取暖类型,HeatingQC,取暖设施质量,,
YearRemodAdd,重建时间,,MSZoning,用途分类,,,CentralAir,中央空调,,,,
RoofStyle,屋顶类型,,LotFrontage,临街距离,,,Electrical,电气系统,,,,
RoofMatl,屋顶材料,,LotArea,地块面积,,,KitchenAbvGr,地面厨房,KitchenQual,厨房质量,,
Exterior1st,外墙覆盖材料1,,Street,街道铺设,,,,卫浴,BsmtFullBath,地下室全套卫浴,,
Exterior2nd,外墙覆盖材料2,,Alley,门口铺设,,,,,BsmtHalfBath,地下室半套卫浴,,
MasVnrType,砌体类型,,LotShape,房屋形状,,,,,FullBath,地面全套卫浴,,
MasVnrArea,胶合板面积,,LandContour,地面平整,,,,,HalfBath,地面半套卫浴,,
ExterQual,外墙材料质量,,Utilities,水电煤气,,,,,,,,
ExterCond,外墙状态,,LotConfig,位置细节,,,,,,,,
Foundation,地基类型,,LandSlope,物业平整,,,BedroomAbvGr,地面卧室,,,,
,,,Neighborhood,地理位置,,,,,,,,
,,,Condition1,周边条件1,,,TotRmsAbvGrd,地面房间数,,,,
杂项,,,Condition2,周边条件2,,,Fireplaces,壁炉数量,FireplaceQu,壁炉质量,,
MoSold,出售月份,,BldgType,住宅类型,,,GarageCars,车库容量,,,,
YrSold,出售年份,,HouseStyle,住宅样式,,,GarageArea,车库面积,GarageType,车库类型,,
SaleType,销售类型,,OverallQual,材料外观,,,,,GarageYrBlt,车库建成时间,,
SaleCondition,销售条件,,OverallCond,整体评价,,,,,GarageFinish,车库装饰,,
SalePrice,销售价格,,,,,,,,GarageQual,车库质量,,
,,,,,,,,,GarageCond,车库条件,,
,,,,,,,,,PavedDrive,铺设车道,,
,,,,,,,,,,,,
,,,,,,,PoolArea,游泳池面积,PoolQC,游泳池质量,,
,,,,,,,Fence,栅栏质量,,,,
,,,,,,,MiscFeature,杂项功能,,,MiscVal,杂项功能价值
,,,,,,,,门廊,,,OpenPorchSF,开放式门廊面积
,,,,,,,,,,,EnclosedPorch,封闭式门廊面积
,,,,,,,,,,,3SsnPorch,三季门廊面积
,,,,,,,,,,,ScreenPorch,露天门廊面积
,,,,,,,,地下室,BsmtQual,地下室高度,TotalBsmtSF,基底总面积
,,,,,,,,,BsmtCond,地下室状况,BsmtFinSF1,地下室面积
,,,,,,,,,BsmtExposure,地下室光照,,
,,,,,,,,,BsmtFinType1,地下室评级,,
,,,,,,,,第二地下室,BsmtFinType2,第二地下室评级,BsmtFinSF2,第二地下室面积
,,,,,,,,,,,,
,,,,,,,,,Functional,功能使用,,
,,,,,,,,,,,1stFlrSF,一楼面积
,,,,,,,,,,,2ndFlrSF,二楼面积
,,,,,,,,,,,BsmtUnfSF,地下室未完工面积
,,,,,,,,,,,LowQualFinSF,低质量装修面积
,,,,,,,,,,,GrLivArea,生活区域面积
,,,,,,,,,,,WoodDeckSF,木地板面积
