Id,SalePrice
1461,76120
1462,71418
1463,60618
1464,68535
1465,72228
1466,77811
1467,73628
1468,67929
1469,71643
1470,58898
1471,80978
1472,71983
1473,66094
1474,80609
1475,69456
1476,80426
1477,80090
1478,80820
1479,82790
1480,80426
1481,80090
1482,80840
1483,68459
1484,68459
1485,68723
1486,68723
1487,77610
1488,70456
1489,70819
1490,72798
1491,66768
1492,86414
1493,86955
1494,80779
1495,79960
1496,74111
1497,70709
1498,73533
1499,75818
1500,72011
1501,73683
1502,71700
1503,85551
1504,78463
1505,72817
1506,69851
1507,78696
1508,81570
1509,70276
1510,66273
1511,84704
1512,75230
1513,68603
1514,66679
1515,67401
1516,84052
1517,71144
1518,69851
1519,69707
1520,61999
1521,68603
1522,69059
1523,68384
1524,70944
1525,84425
1526,62332
1527,69271
1528,57240
1529,70097
1530,98809
1531,64776
1532,85709
1533,62899
1534,74774
1535,85013
1536,83214
1537,65571
1538,75767
1539,72360
1540,77762
1541,72702
1542,71128
1543,81120
1544,77911
1545,73350
1546,74668
1547,83791
1548,76670
1549,74727
1550,71396
1551,86818
1552,97942
1553,76462
1554,80698
1555,70601
1556,73014
1557,81421
1558,72291
1559,76423
1560,75790
1561,69064
1562,58281
1563,69136
1564,77774
1565,79122
1566,79220
1567,67074
1568,77454
1569,93786
1570,93404
1571,89613
1572,70913
1573,81222
1574,71406
1575,79894
1576,68295
1577,68459
1578,67555
1579,71066
1580,63244
1581,58174
1582,70159
1583,72426
1584,64673
1585,71727
1586,68542
1587,79320
1588,89764
1589,61904
1590,71590
1591,73453
1592,84082
1593,69470
1594,71188
1595,69999
1596,94498
1597,67336
1598,68597
1599,82661
1600,81073
1601,72540
1602,71081
1603,83635
1604,74307
1605,77970
1606,76742
1607,61654
1608,77630
1609,68459
1610,66805
1611,76526
1612,68275
1613,68796
1614,86909
1615,74697
1616,74697
1617,77466
1618,68757
1619,71256
1620,68603
1621,69487
1622,83781
1623,97336
1624,71168
1625,68384
1626,70601
1627,62057
1628,68554
1629,75872
1630,71389
1631,69884
1632,71676
1633,75122
1634,74310
1635,79225
1636,78696
1637,77270
1638,73627
1639,75443
1640,80630
1641,79212
1642,74384
1643,80044
1644,73574
1645,71309
1646,77964
1647,76295
1648,68603
1649,72144
1650,66365
1651,69426
1652,72357
1653,73158
1654,72289
1655,73593
1656,80487
1657,81433
1658,79877
1659,66062
1660,78242
1661,80051
1662,80820
1663,80426
1664,80426
1665,80426
1666,80261
1667,80446
1668,80426
1669,80820
1670,80426
1671,82278
1672,80820
1673,79217
1674,80840
1675,82278
1676,79592
1677,80840
1678,75031
1679,80820
1680,82757
1681,80426
1682,80820
1683,88013
1684,70802
1685,70802
1686,69208
1687,69771
1688,68723
1689,69098
1690,70116
1691,77289
1692,69721
1693,55923
1694,75102
1695,74728
1696,78747
1697,74728
1698,77255
1699,74656
1700,90652
1701,79090
1702,69707
1703,70456
1704,70456
1705,70437
1706,73629
1707,72048
1708,72067
1709,72817
1710,72817
1711,71270
1712,72817
1713,72817
1714,74352
1715,71727
1716,66504
1717,66504
1718,69304
1719,66394
1720,52448
1721,66504
1722,69304
1723,65092
1724,68127
1725,61225
1726,57470
1727,69209
1728,70070
1729,66782
1730,75203
1731,69638
1732,69136
1733,69510
1734,70192
1735,71949
1736,69599
1737,70313
1738,83295
1739,78223
1740,72817
1741,71569
1742,73683
1743,73683
1744,84572
1745,91330
1746,59799
1747,78271
1748,78318
1749,58717
1750,62611
1751,78318
1752,74419
1753,69851
1754,70675
1755,71188
1756,74505
1757,69136
1758,86287
1759,72589
1760,81625
1761,62986
1762,93142
1763,72707
1764,70193
1765,88548
1766,81361
1767,73831
1768,68895
1769,85454
1770,71949
1771,81191
1772,75903
1773,82855
1774,69061
1775,70042
1776,68228
1777,71717
1778,72848
1779,84256
