编号,年月日,年,月份,日期,航班号,起飞机场,落地机场,耗油,业载,周转量
1601011031,160101,16,1,1,1031,DLC,WNZ,5534,7134,10437042
1601011031,160101,16,1,1,1031,WNZ,SYX,7031,6075,10455075
1601011031,160101,16,1,1,1031,DLC,SYX,0,7152,22771968
1601011107,160101,16,1,1,1107,PVG,FOC,3992,11565,9552690
1601011108,160101,16,1,1,1108,FOC,PVG,3175,8370,6419790
1601011131,160101,16,1,1,1131,SHA,TYN,6033,17430,23669940
1601011132,160101,16,1,1,1132,TYN,SHA,5170,14985,19870110
1601011157,160101,16,1,1,1157,SHA,ZUH,6668,13770,21315960
1601011158,160101,16,1,1,1158,ZUH,SHA,5398,15615,23734800
1601011163,160101,16,1,1,1163,PVG,DLC,4128,14535,16119315
1601011171,160101,16,1,1,1171,SHA,NNG,8528,17805,31621680
1601011172,160101,16,1,1,1172,NNG,SHA,6940,20010,37678830
1601011183,160101,16,1,1,1183,PVG,SHE,5533,15405,22876425
1601011184,160101,16,1,1,1184,SHE,PVG,5579,12271,18357416
1601011209,160101,16,1,1,1209,SHA,KWE,7439,16820,27164300
1601011210,160101,16,1,1,1210,KWE,SHA,5352,15480,26780400
1601011222,160101,16,1,1,1222,SYX,PVG,6622,12093,26132973
1601011285,160101,16,1,1,1285,PVG,SHE,5307,15000,22275000
1601011286,160101,16,1,1,1286,SHE,PVG,5987,13851,20721096
1601011357,160101,16,1,1,1357,SHE,PVG,5852,9605,14369080
1601011357,160101,16,1,1,1357,PVG,BKK,国际航班,国际航班,国际航班
1601011357,160101,16,1,1,1357,SHE,BKK,国际航班,国际航班,国际航班
1601011358,160101,16,1,1,1358,BKK,PVG,国际航班,国际航班,国际航班
1601011358,160101,16,1,1,1358,PVG,SHE,5307,7385,10966725
1601011358,160101,16,1,1,1358,BKK,SHE,国际航班,国际航班,国际航班
1601011387,160101,16,1,1,1387,FOC,PVG,3175,12015,9215505
1601011387,160101,16,1,1,1387,PVG,NGO,国际航班,国际航班,国际航班
1601011387,160101,16,1,1,1387,FOC,NGO,国际航班,国际航班,国际航班
1601011388,160101,16,1,1,1388,NGO,PVG,国际航班,国际航班,国际航班
1601011388,160101,16,1,1,1388,PVG,FOC,3811,11295,9329670
1601011388,160101,16,1,1,1388,NGO,FOC,国际航班,国际航班,国际航班
1602051057,160205,16,2,5,1057,SHA,BAV,7031,13695,25308360
1602051058,160205,16,2,5,1058,BAV,SHA,6351,12465,22461930
1602051069,160205,16,2,5,1069,PVG,CGO,4989,14530,15576160
1602051070,160205,16,2,5,1070,CGO,SHA,3674,11925,10708650
1602051119,160205,16,2,5,1119,SHA,CTU,8754,18425,34565300
1602051120,160205,16,2,5,1120,CTU,SHA,5761,16891,31214568
1602051121,160205,16,2,5,1121,SHA,KMG,9299,14575,30228550
1602051122,160205,16,2,5,1122,KMG,SHA,5851,12512,27000896
1602051127,160205,16,2,5,1127,SHA,SYX,9163,17500,35000000
1602051128,160205,16,2,5,1128,SYX,SHA,8756,13702,29390790
1602051197,160205,16,2,5,1197,SHA,XMN,4445,16020,15363180
1602051198,160205,16,2,5,1198,XMN,SHA,4037,15259,14831748
1602051208,160205,16,2,5,1208,KWE,SHA,5806,14595,25249350
1602051217,160205,16,2,5,1217,SHA,XIY,6713,18480,26703600
1602051218,160205,16,2,5,1218,XIY,SHA,4718,13063,18771531
1602051288,160205,16,2,5,1288,CAN,SHA,4491,11295,14999760
1603081025,160308,16,3,8,1025,PVG,MIG,7666,14460,28254840
1603081026,160308,16,3,8,1026,MIG,PVG,7031,13124,24450012
1603081105,160308,16,3,8,1105,SHA,XMN,4082,12015,11522385
1603081106,160308,16,3,8,1106,XMN,SHA,3856,16243,15788196
1603081111,160308,16,3,8,1111,SHA,SZX,6668,20610,30111210
1603081112,160308,16,3,8,1112,SZX,SHA,7122,20352,28798080
1603081119,160308,16,3,8,1119,SHA,CTU,8255,20350,38176600
1603081120,160308,16,3,8,1120,CTU,SHA,7393,16603,30682344
1603081129,160308,16,3,8,1129,SHA,SYX,7893,13205,26410000
1603081130,160308,16,3,8,1130,SYX,SHA,6396,12990,27863550
1603081159,160308,16,3,8,1159,SHA,ZUH,7167,13995,21664260
1603081160,160308,16,3,8,1160,ZUH,SHA,5906,17641,26814320
1603081173,160308,16,3,8,1173,PVG,DOY,4589,11385,11760705
1603081174,160308,16,3,8,1174,DOY,PVG,4709,12061,12905270
1603081183,160308,16,3,8,1183,PVG,SHE,5125,13530,20092050
1603081193,160308,16,3,8,1193,SHA,XMN,4218,14345,13756855
1603081194,160308,16,3,8,1194,XMN,PVG,3810,14847,14683683
1603081211,160308,16,3,8,1211,PVG,XIY,6123,12120,17816400
1603081212,160308,16,3,8,1212,XIY,PVG,5579,13140,19591740
1603081217,160308,16,3,8,1217,SHA,XIY,6124,15405,22260225
1603081218,160308,16,3,8,1218,XIY,SHA,5625,17223,24749451
1603081357,160308,16,3,8,1357,SHE,PVG,6124,5400,8078400
1603081357,160308,16,3,8,1357,PVG,BKK,国际航班,国际航班,国际航班
1603081357,160308,16,3,8,1357,SHE,BKK,国际航班,国际航班,国际航班
1604191105,160419,16,4,19,1105,PVG,XMN,4899,15435,16345665
1604191106,160419,16,4,19,1106,XMN,SHA,4309,13520,13141440
1604191107,160419,16,4,19,1107,PVG,FOC,3674,13420,11084920
1604191127,160419,16,4,19,1127,SHA,SYX,7892,15920,31840000
1604191128,160419,16,4,19,1128,SYX,SHA,8119,14361,30804345
1604191161,160419,16,4,19,1161,PVG,DLC,4490,13500,14971500
1604191185,160419,16,4,19,1185,PVG,CGQ,7121,17370,30883860
1604191186,160419,16,4,19,1186,CGQ,PVG,6940,10813,19063319
1604191209,160419,16,4,19,1209,SHA,KWE,7303,18190,29376850
1604191210,160419,16,4,19,1210,KWE,SHA,7031,16245,28103850
1604191271,160419,16,4,19,1271,PVG,HAK,7394,17265,32130165
1604191272,160419,16,4,19,1272,HAK,PVG,7257,18425,36370950
1604191387,160419,16,4,19,1387,FOC,PVG,3447,10665,8180055
1604191387,160419,16,4,19,1387,PVG,NGO,国际航班,国际航班,国际航班
1604191387,160419,16,4,19,1387,FOC,NGO,国际航班,国际航班,国际航班
1604191658,160419,16,4,19,1658,DLC,NKG,4263,11880,11464200
1604191685,160419,16,4,19,1685,NKG,XIY,5126,13729,16241407
1604191686,160419,16,4,19,1686,XIY,NKG,4173,12600,13393800
1604201061,160420,16,4,20,1061,PVG,XFN,5262,9630,11575260
1604201062,160420,16,4,20,1062,XFN,PVG,4301,9108,10337580
1604201072,160420,16,4,20,1072,HHA,PVG,3947,5388,5695116
1604201099,160420,16,4,20,1099,SHA,KMG,8527,15340,31815160
1604201100,160420,16,4,20,1100,KMG,SHA,6713,15656,33785648
1604201127,160420,16,4,20,1127,SHA,SYX,8028,15440,30880000
1604201128,160420,16,4,20,1128,SYX,SHA,7257,16231,34815495
1604201129,160420,16,4,20,1129,SHA,SYX,8164,11635,23270000
1604201130,160420,16,4,20,1130,SYX,SHA,7485,11973,25682085
1604201652,160420,16,4,20,1652,KMG,NKG,5942,10279,19324520
1604201652,160420,16,4,20,1652,NKG,HRB,6032,10736,20119264
1604201652,160420,16,4,20,1652,KMG,HRB,0,4005,15034770
1605051011,160505,16,5,5,1011,PVG,HUZ,5851,8640,12977280
1605051016,160505,16,5,5,1016,HUZ,HGH,4672,9090,10908000
1605051025,160505,16,5,5,1025,PVG,MIG,7439,13735,26838190
1605051026,160505,16,5,5,1026,MIG,SHA,6486,12267,21970197
1605051031,160505,16,5,5,1031,DLC,WNZ,5715,7981,11676203
1605051031,160505,16,5,5,1031,WNZ,SYX,6293,7335,12623535
1605051031,160505,16,5,5,1031,DLC,SYX,0,4095,13038480
1605051101,160505,16,5,5,1101,SHA,WNZ,2903,7500,3322500
1605051102,160505,16,5,5,1102,WNZ,SHA,2630,8640,4173120
1605051111,160505,16,5,5,1111,SHA,SZX,6032,17005,24844305
1605051112,160505,16,5,5,1112,SZX,SHA,5806,19312,27326480
1605051161,160505,16,5,5,1161,PVG,DLC,3765,11565,12825585
1605051165,160505,16,5,5,1165,PVG,DLC,4399,13895,15409555
1605051177,160505,16,5,5,1177,SHA,SYX,8392,13570,27140000
1605051178,160505,16,5,5,1178,SYX,SHA,7892,15227,32661915
1605051185,160505,16,5,5,1185,PVG,CGQ,6531,17780,31612840
